city,aqi,date
अगरतला,81,8 Aug 2026
आगरा,49,8 Aug 2026
अहमदाबाद,83,8 Aug 2026
अहमदनगर,42,8 Aug 2026
आइजोल,15,8 Aug 2026
अकोला,42,8 Aug 2026
अलवर,80,8 Aug 2026
अमरावती,85,8 Aug 2026
अंबाला,85,8 Aug 2026
अंबरनाथ,89,8 Aug 2026
अमरावती,65,8 Aug 2026
अमृतसर,58,8 Aug 2026
अनंतपुर,68,8 Aug 2026
अंगुल,62,8 Aug 2026
अंकलेश्वर,64,8 Aug 2026
आरा,51,8 Aug 2026
आसनसोल,55,8 Aug 2026
Aurangabad (Maharashtra),51,8 Aug 2026
बड़ी,94,8 Aug 2026
Badlapur,37,8 Aug 2026
Baghpat,50,8 Aug 2026
Bahadurgarh,48,8 Aug 2026
Balasore,42,8 Aug 2026
Ballabgarh,36,8 Aug 2026
बांसवाड़ा,67,8 Aug 2026
Baran,87,8 Aug 2026
Barbil,43,8 Aug 2026
बरेली,56,8 Aug 2026
Baripada,47,8 Aug 2026
बाड़मेर,88,8 Aug 2026
Barrackpore,41,8 Aug 2026
बठिंडा,43,8 Aug 2026
Beed,44,8 Aug 2026
Begusarai,83,8 Aug 2026
Belapur,22,8 Aug 2026
बेलगाम,48,8 Aug 2026
Bengaluru,49,8 Aug 2026
Bettiah,28,8 Aug 2026
भागलपुर,54,8 Aug 2026
भरतपुर,32,8 Aug 2026
भावनगर,62,8 Aug 2026
Bhilai,28,8 Aug 2026
भीलवाड़ा,122,8 Aug 2026
भिवाड़ी,74,8 Aug 2026
Bhiwandi,54,8 Aug 2026
भोपाल,87,8 Aug 2026
भुवनेश्वर,36,8 Aug 2026
बीकानेर,93,8 Aug 2026
बिलासपुर,35,8 Aug 2026
Boisar,50,8 Aug 2026
Bulandshahr,32,8 Aug 2026
Bundi,87,8 Aug 2026
Byrnihat (Assam),106,8 Aug 2026
Byrnihat (Meghalaya),158,8 Aug 2026
Chamarajanagar,45,8 Aug 2026
Chandigarh,42,8 Aug 2026
Chandrapur,76,8 Aug 2026
Charkhi dadri,55,8 Aug 2026
Chennai,79,8 Aug 2026
Chhal,29,8 Aug 2026
Chikkaballapur,24,8 Aug 2026
Chikkamagaluru,33,8 Aug 2026
Chittoor,60,8 Aug 2026
Chittorgarh,88,8 Aug 2026
Churu,47,8 Aug 2026
Coimbatore,26,8 Aug 2026
Cuttack,59,8 Aug 2026
Damoh,51,8 Aug 2026
Dausa,65,8 Aug 2026
Dehradun,42,8 Aug 2026
Delhi,63,8 Aug 2026
Dewas,81,8 Aug 2026
Dharuhera,53,8 Aug 2026
Dharwad,63,8 Aug 2026
Dholpur,33,8 Aug 2026
Dhule,60,8 Aug 2026
Dombivli,35,8 Aug 2026
Dungarpur,76,8 Aug 2026
Durgapur,58,8 Aug 2026
Eloor,64,8 Aug 2026
Eluru,52,8 Aug 2026
Faridabad,93,8 Aug 2026
Fatehabad,48,8 Aug 2026
Fatehpur sikri,29,8 Aug 2026
Firozabad,35,8 Aug 2026
Gadag,105,8 Aug 2026
Gajraula,42,8 Aug 2026
Gandhinagar,92,8 Aug 2026
Gaya,48,8 Aug 2026
Ghaziabad,54,8 Aug 2026
Gorakhpur,120,8 Aug 2026
Greater noida,142,8 Aug 2026
Gummidipoondi,126,8 Aug 2026
