city,state,latitude,longitude
अगरतला,त्रिपुरा,23.8315,91.2868
आगरा,उत्तर प्रदेश,27.1767,78.0081
अहमदाबाद,गुजरात,23.0225,72.5714
अहमदनगर,महाराष्ट्र,19.0948,74.748
आइजोल,मिजोरम,23.7271,92.7176
अजमेर,राजस्थान,26.4499,74.6399
अकोला,महाराष्ट्र,20.7002,77.0082
अलवर,राजस्थान,27.5665,76.6108
अमरावती,आंध्र प्रदेश,16.5062,80.518
अंबाला,हरियाणा,30.3782,76.7767
अंबरनाथ,महाराष्ट्र,19.1868,73.1868
अमरावती,महाराष्ट्र,20.932,77.7523
अमृतसर,पंजाब,31.634,74.8723
अनंतपुर,आंध्र प्रदेश,14.6819,77.6006
अंगुल,ओडिशा,20.84,85.1017
अंकलेश्वर,गुजरात,21.6266,73.0006
अररिया,बिहार,26.1509,87.5216
आरा,बिहार,25.5561,84.6636
आसनसोल,पश्चिम बंगाल,23.6839,86.9752
Aurangabad (Maharashtra),महाराष्ट्र,19.8762,75.3433
बड़ी,हिमाचल प्रदेश,30.9578,76.7914
Badlapur,महाराष्ट्र,19.1551,73.2352
बागलकोट,कर्नाटक,16.1809,75.6961
Baghpat,उत्तर प्रदेश,28.9445,77.2183
Bahadurgarh,हरियाणा,28.6926,76.9345
Balasore,ओडिशा,21.4942,86.9317
Ballabgarh,हरियाणा,28.3372,77.322
बांसवाड़ा,राजस्थान,23.5461,74.4423
Baran,राजस्थान,25.1004,76.5124
Barbil,ओडिशा,22.1042,85.3796
बरेली,उत्तर प्रदेश,28.367,79.4304
Baripada,ओडिशा,21.9347,86.7318
बाड़मेर,राजस्थान,25.7521,71.3962
Barrackpore,पश्चिम बंगाल,22.7645,88.3697
बठिंडा,पंजाब,30.211,74.9455
Beed,महाराष्ट्र,18.9891,75.7601
Begusarai,बिहार,25.4182,86.1272
Belapur,महाराष्ट्र,19.0234,73.0356
बेलगाम,कर्नाटक,15.8497,74.4977
Bengaluru,कर्नाटक,12.9716,77.5946
Bettiah,बिहार,26.8026,84.501
भागलपुर,बिहार,25.2445,86.9718
