city,state,latitude,longitude,city_hi,state_hi
Agartala,Tripura,23.8315,91.2868,अगरतला,त्रिपुरा
Agra,Uttar Pradesh,27.1767,78.0081,आगरा,उत्तर प्रदेश
Ahmedabad,Gujarat,23.0225,72.5714,अहमदाबाद,गुजरात
Ahmednagar,Maharashtra,19.0948,74.748,अहमदनगर,महाराष्ट्र
Aizawl,Mizoram,23.7271,92.7176,आइजोल,मिजोरम
Ajmer,Rajasthan,26.4499,74.6399,अजमेर,राजस्थान
Akola,Maharashtra,20.7002,77.0082,अकोला,महाराष्ट्र
Alwar,Rajasthan,27.5665,76.6108,अलवर,राजस्थान
Amaravati,Andhra Pradesh,16.5062,80.518,अमरावती,आंध्र प्रदेश
Ambala,Haryana,30.3782,76.7767,अंबाला,हरियाणा
Ambernath,Maharashtra,19.1868,73.1868,अंबरनाथ,महाराष्ट्र
Amravati,Maharashtra,20.932,77.7523,अमरावती,महाराष्ट्र
Amritsar,Punjab,31.634,74.8723,अमृतसर,पंजाब
Anantapur,Andhra Pradesh,14.6819,77.6006,अनंतपुर,आंध्र प्रदेश
Angul,Odisha,20.84,85.1017,अंगुल,ओडिशा
Ankleshwar,Gujarat,21.6266,73.0006,अंकलेश्वर,गुजरात
Araria,Bihar,26.1509,87.5216,अररिया,बिहार
Arrah,Bihar,25.5561,84.6636,आरा,बिहार
Asansol,West Bengal,23.6839,86.9752,आसनसोल,पश्चिम बंगाल
Aurangabad (Maharashtra),Maharashtra,19.8762,75.3433,औरंगाबाद (महाराष्ट्र),महाराष्ट्र
Baddi,Himachal Pradesh,30.9578,76.7914,बद्दी,हिमाचल प्रदेश
Badlapur,Maharashtra,19.1551,73.2352,बदलापुर,महाराष्ट्र
Bagalkot,Karnataka,16.1809,75.6961,बागलकोट,कर्नाटक
Baghpat,Uttar Pradesh,28.9445,77.2183,बागपत,उत्तर प्रदेश
Bahadurgarh,Haryana,28.6926,76.9345,बहादुरगढ़,हरियाणा
Balasore,Odisha,21.4942,86.9317,बालासोर,ओडिशा
Ballabgarh,Haryana,28.3372,77.322,बल्लभगढ़,हरियाणा
Banswara,Rajasthan,23.5461,74.4423,बांसवाड़ा,राजस्थान
Baran,Rajasthan,25.1004,76.5124,बारां,राजस्थान
Barbil,Odisha,22.1042,85.3796,बारबिल,ओडिशा
Bareilly,Uttar Pradesh,28.367,79.4304,बरेली,उत्तर प्रदेश
Baripada,Odisha,21.9347,86.7318,बारीपदा,ओडिशा
Barmer,Rajasthan,25.7521,71.3962,बाड़मेर,राजस्थान
Barrackpore,West Bengal,22.7645,88.3697,बैरकपुर,पश्चिम बंगाल
Bathinda,Punjab,30.211,74.9455,भटिंडा,पंजाब
Beed,Maharashtra,18.9891,75.7601,बीड,महाराष्ट्र
Begusarai,Bihar,25.4182,86.1272,बेगूसराय,बिहार
Belapur,Maharashtra,19.0234,73.0356,बेलापुर,महाराष्ट्र
Belgaum,Karnataka,15.8497,74.4977,बेलगाम,कर्नाटक
Bengaluru,Karnataka,12.9716,77.5946,बेंगलुरु,कर्नाटक
Bettiah,Bihar,26.8026,84.501,बेतिया,बिहार
Bhagalpur,Bihar,25.2445,86.9718,भागलपुर,बिहार
Bharatpur,Rajasthan,27.2152,77.4909,भरतपुर,राजस्थान
Bhavnagar,Gujarat,21.7645,72.1519,भावनगर,गुजरात
Bhilai,Chhattisgarh,21.2094,81.4285,भिलाई,छत्तीसगढ़
Bhilwara,Rajasthan,25.3463,74.6364,भीलवाड़ा,राजस्थान
Bhiwadi,Rajasthan,28.21,76.86,भिवाड़ी,राजस्थान
Bhiwandi,Maharashtra,19.3002,73.0629,भिवंडी,महाराष्ट्र
Bhiwani,Haryana,28.7975,76.1322,भिवानी,हरियाणा
Bhopal,Madhya Pradesh,23.2599,77.4126,भोपाल,मध्य प्रदेश
Bhubaneswar,Odisha,20.2961,85.8245,भुवनेश्वर,ओडिशा
Bihar sharif,Bihar,25.1994,85.521,बिहार शरीफ,बिहार
Bikaner,Rajasthan,28.0229,73.3119,बीकानेर,राजस्थान
Bilaspur,Chhattisgarh,22.0797,82.1409,बिलासपुर,छत्तीसगढ़
Bileipada,Odisha,21.9,85.33,बिलैपाड़ा,ओडिशा
Boisar,Maharashtra,19.8047,72.7563,बोइसर,महाराष्ट्र
Brajrajnagar,Odisha,21.8167,83.9167,ब्रजराजनगर,ओडिशा
Bulandshahr,Uttar Pradesh,28.4041,77.8498,बुलंदशहर,उत्तर प्रदेश
Bundi,Rajasthan,25.4305,75.6499,बूंदी,राजस्थान
Buxar,Bihar,25.5657,83.9773,बक्सर,बिहार
Byasanagar,Odisha,20.8167,86.1333,ब्यासनगर,ओडिशा
Byrnihat (Assam),Assam,26.0947,91.8737,बर्नीहाट (असम),असम
Byrnihat (Meghalaya),Meghalaya,25.97,91.873,बर्नीहाट (मेघालय),मेघालय
Chamarajanagar,Karnataka,11.9236,76.9391,चामराजनगर,कर्नाटक
Chandigarh,Chandigarh,30.7333,76.7794,चंडीगढ़,चंडीगढ़
Chandrapur,Maharashtra,19.9615,79.2961,चंद्रपुर,महाराष्ट्र
Charkhi dadri,Haryana,28.5921,76.2727,चरखी दादरी,हरियाणा
Chennai,Tamil Nadu,13.0827,80.2707,चेन्नई,तमिलनाडु
Chhal,Chhattisgarh,21.9,82.6,छाल,छत्तीसगढ़
Chhapra,Bihar,25.7815,84.7476,छपरा,बिहार
Chikkaballapur,Karnataka,13.4355,77.7315,चिक्कबल्लापुर,कर्नाटक
Chikkamagaluru,Karnataka,13.3161,75.772,चिक्कमगलुरु,कर्नाटक
Chittoor,Andhra Pradesh,13.2172,79.1003,चित्तूर,आंध्र प्रदेश
Chittorgarh,Rajasthan,24.8887,74.6269,चित्तौड़गढ़,राजस्थान
Churu,Rajasthan,28.3033,74.9647,चुरू,राजस्थान
