state_id,state_name,district_code,hindi_name,SC_pct_cultivators,SC_cultivators,SC_agricultural_labourers
1,Andaman & Nicobar Islands,638,अंडमान एंड निकोबार आइलैंड,33,33,0
2,Andhra Pradesh,532,आंध्रप्रदेश,3679,2349,62
3,Arunachal Pradesh,260,अरुणाचल प्रदेश,4,1,0
4,Assam,324,असम,1272,185,4
5,Bihar,209,बिहार,3815,1710,21
6,Chandigarh,55,चंडीगढ़,293,199,4
7,Chhattisgarh,414,छत्तीसगढ़,498,115,1
8,Dadra & Nagar Haveli,496,दादरा एंड नगर हवेली,2,0,0
9,Daman & Diu,495,दमन और दिउए,0,0,0
10,Goa,585,गोवा,70,42,0
11,Gujarat,474,गुजरात,16779,9919,1038
12,Haryana,70,हरियाणा,2091,1048,20
13,Himachal Pradesh,30,हिमाचल प्रदेश,331,120,5
14,Jammu & Kashmir,14,जम्मू और कश्मीर,2446,927,28
15,Jharkhand,355,झारखण्ड,610,256,5
16,Karnataka,556,कर्नाटक,3221,1218,51
17,Kerala,598,केरल,1269,590,9
37,Ladakh,1111,लद्दाख,74,43,0
18,Lakshadweep,587,लक्षद्वीप,0,0,0
19,Madhya Pradesh,465,मध्य प्रदेश,8089,4842,350
20,Maharashtra,522,महाराष्ट्र,67655,29329,2286
21,Manipur,275,मणिपुर,71,11,0
22,Meghalaya,294,मेघालय,27,12,1
23,Mizoram,283,मिजोरम,1,1,0
24,Nagaland,265,नागालैंड,43,0,0
25,Nct Of Delhi,95,दिल्ली,19844,8478,473
26,Odisha,384,ओडिशा,1948,1126,7
27,Puducherry,637,पुदुचेर्री,70,25,0
28,Punjab,49,पंजाब,2263,1987,45
29,Rajasthan,119,राजस्थान,8831,5927,194
30,Sikkim,244,सिक्किम,1,0,0
31,Tamil Nadu,616,तमिलनाडु,22333,12757,173
32,Telangana,145,तेलंगाना,2698,1428,82
33,Tripura,291,त्रिपुरा,313,173,0
34,Uttar Pradesh,146,उत्तरप्रदेश,7823,4709,213
35,Uttarakhand,64,उत्तराखंड,907,102,5
36,West Bengal,339,पश्चिम बंगाल,5501,2157,317
