city,state,latitude,longitude,aqi,date
Delhi,Delhi,28.61,77.20,245,2026-03-01
Delhi,Delhi,28.61,77.20,230,2026-03-02
Delhi,Delhi,28.61,77.20,245,2026-03-11
Delhi,Delhi,28.61,77.20,330,2026-03-15
Delhi,Delhi,28.61,77.20,145,2026-03-20
Delhi,Delhi,28.61,77.20,23,2026-03-30
Delhi,Delhi,28.61,77.20,145,2026-03-03
Delhi,Delhi,28.61,77.20,30,2026-03-04
Delhi,Delhi,28.61,77.20,345,2026-03-05
Delhi,Delhi,28.61,77.20,130,2026-03-06
Delhi,Delhi,28.61,77.20,25,2026-03-07
Delhi,Delhi,28.61,77.20,123,2026-03-08
Mumbai,Maharashtra,19.07,72.87,120,2026-03-01
