Region	Country.code	Country	Country.short	Overall.Index	Overall.Index.Rank	Income.security	Income.security.Rank	Health.status	Health.status.Rank	Capability	Capability.Rank	Enabling.environment	Enabling.environment.Rank	x	y
Afghanistan	Afghanistan	Afghanistan	Afghanistan	34.3	34.3	30.3	30.3	9.5	9.5	40.9	40.9	7	95	3.5	1
Albania	Albania	Albania	Albania	12.2	12.2	5.5	5.5	7.7	7.7	18.2	18.2	1.4	86	53	5
Algeria	Algeria	Algeria	Algeria	9.4	9.4	4.7	4.7	4.1	4.1	11.7	11.7	2.5	66	47	17
Angola	Angola	Angola	Angola	29.5	29.5	23.9	23.9	4.9	4.9	37.6	37.6	8.3	73	60	7
Argentina	Argentina	Argentina	Argentina	5.3	5.3	3.8	3.8	1.6	1.6	7.6	7.6	1.1	26	60	25
Armenia	Armenia	Armenia	Armenia	7.6	7.6	4.3	4.3	4.2	4.2	9.4	9.4	1.3	2	40	40
Azerbaijan	Azerbaijan	Azerbaijan	Azerbaijan	9.5	9.5	2.5	2.5	3.1	3.1	18	18	3.1	24	36	31
Bahrain	Bahrain	Bahrain	Bahrain					3	3	4.1	4.1	0.8	41	10	26
Bangladesh	Bangladesh	Bangladesh	Bangladesh	26.1	26.1	15.2	15.2	14.3	14.3	36.1	36.1	3.4	69	49	7
Belarus	Belarus	Belarus	Belarus	5	5	2.5	2.5	1.9	1.9	3	3	0.4	44	21	18
Benin	Benin	Benin	Benin	24.3	24.3	10.4	10.4	4.5	4.5	34	34	9.8	78	45	1
Bhutan	Bhutan	Bhutan	Bhutan					4.8	4.8	28.3	28.3	3.2	87	32	7
Bolivia	Bolivia	Bolivia	Bolivia	16.7	16.7	19.8	19.8	2	2	16.1	16.1	3.7	9	55.5	40
Bosnia	Bosnia	Bosnia	Bosnia	5	5	2.5	2.5	2.9	2.9	8.9	8.9	0.6	1	60	40
Botswana	Botswana	Botswana	Botswana	25.5	25.5	28.5	28.5	6.3	6.3	26.1	26.1	4.1	49	44	24
Brazil	Brazil	Brazil	Brazil	8.5	8.5	2.5	2.5	5.5	5.5	13.4	13.4	1.5	28	15	35
Bulgaria	Bulgaria	Bulgaria	Bulgaria	5	5	3	3	2.8	2.8	6.1	6.1	0.8	42	23	40
Burkina	Burkina	Burkina	Burkina	27.7	27.7	21.3	21.3	7.6	7.6	27.3	27.3	8.5	29	27	36
Burundi	Burundi	Burundi	Burundi					5.1	5.1	55.9	55.9	7.2	55	39	26
Cambodia	Cambodia	Cambodia	Cambodia	23.7	23.7	18.5	18.5	9.6	9.6	32.4	32.4	3.1	50	54	18
Cameroon	Cameroon	Cameroon	Cameroon	21.1	21.1	7.3	7.3	5.2	5.2	31.7	31.7	8	11	57	33
Central	Central	Central	Central	53.7	53.7	61.8	61.8	9.2	9.2	46.2	46.2	12.4	14	49	34
Chad	Chad	Chad	Chad	45.4	45.4	39.7	39.7	13	13	39.9	39.9	12.7	43	5.5	36
Chile	Chile	Chile	Chile	5	5	3.3	3.3	0.3	0.3	1.8	1.8	0.8	58	42	14
China	China	China	China	7.6	7.6	8.7	8.7	1.9	1.9	8.1	8.1	1	22	30	40
Colombia	Colombia	Colombia	Colombia	7.7	7.7	6.5	6.5	1.1	1.1	12.2	12.2	1.5	39	60	18
Comoros	Comoros	Comoros	Comoros	30.8	30.8	20.4	20.4	9.8	9.8	41.8	41.8	7.3	18	44	30
"Congo,"	"Congo,"	"Congo,"	"Congo,"					8.1	8.1	42.6	42.6	9.4	23	35	40
"Congo,"	"Congo,"	"Congo,"	"Congo,"	30.4	30.4	37.5	37.5	8.2	8.2	21.2	21.2	5.4	3	45	39
Costa	Costa	Costa	Costa	5	5	4.4	4.4	1.4	1.4	4.9	4.9	0.9	45	60	13
Côte	Côte	Côte	Côte	25.9	25.9	20.7	20.7	6	6	21.6	21.6	9.2	56	2	20
Croatia	Croatia	Croatia	Croatia	5	5	2.5	2.5	1.2	1.2	1	1	0.5	91	27	1
Cuba	Cuba	Cuba	Cuba	5	5	2.5	2.5	2	2	4.7	4.7	0.6	34	13	40
Djibouti	Djibouti	Djibouti	Djibouti	30.1	30.1	19.7	19.7	16.7	16.7	27.4	27.4	6.4	65	0.75	35
Dominican	Dominican	Dominican	Dominican	10.3	10.3	10.4	10.4	2.4	2.4	7.1	7.1	3.1	72	39	6
Ecuador	Ecuador	Ecuador	Ecuador	11.8	11.8	7.8	7.8	1.6	1.6	23.9	23.9	2.1	60	30	19
Egypt	Egypt	Egypt	Egypt	14.8	14.8	4.8	4.8	9.5	9.5	22.3	22.3	2.3	8	10	32
El	El	El	El	10.1	10.1	10.3	10.3	2.1	2.1	13.6	13.6	1.5	52	7	19
Equatorial	Equatorial	Equatorial	Equatorial					2.7	2.7	26	26	9.1	16	41	34
Eritrea	Eritrea	Eritrea	Eritrea					14.5	14.5	52.8	52.8	4.5	92	12	6
Estonia	Estonia	Estonia	Estonia	5	5	2.8	2.8	3.4	3.4	6	6	0.3	10	49	40
Ethiopia	Ethiopia	Ethiopia	Ethiopia	29.1	29.1	21.4	21.4	9.9	9.9	38.4	38.4	5.8	35	55	24
Fiji	Fiji	Fiji	Fiji	9	9	4.4	4.4	7.2	7.2	4.5	4.5	2.2	74	34	12
Gabon	Gabon	Gabon	Gabon	15.4	15.4	9.4	9.4	3.7	3.7	20.9	20.9	4.7	32	18	1.5
Gambia	Gambia	Gambia	Gambia	22.3	22.3	9.6	9.6	11.1	11.1	25	25	6.5	21	60	30
Georgia	Georgia	Georgia	Georgia	8.1	8.1	7.4	7.4	3.3	3.3	9.1	9.1	1.1	36	20	25
Ghana	Ghana	Ghana	Ghana	15.2	15.2	6.1	6.1	4.7	4.7	18.8	18.8	5.9	27	5	32
Guatemala	Guatemala	Guatemala	Guatemala	20.8	20.8	15.8	15.8	0.7	0.7	46.5	46.5	2.9	54	1	40
Guinea	Guinea	Guinea	Guinea	28.9	28.9	19.7	19.7	8.1	8.1	32.4	32.4	8.9	20	5	25
Guinea-Bissau	Guinea-Bissau	Guinea-Bissau	Guinea-Bissau	29.1	29.1	26	26	6	6	27.6	27.6	8.8	25	19	35
Guyana	Guyana	Guyana	Guyana	12.6	12.6	7.5	7.5	6.4	6.4	12	12	3.2	90	53	1
Haiti	Haiti	Haiti	Haiti	35.4	35.4	45.8	45.8	6.7	6.7	26	26	6.7	19	35	36
Honduras	Honduras	Honduras	Honduras	14.4	14.4	15.3	15.3	1.5	1.5	22.4	22.4	1.9	68	55	12
India	India	India	India	31.1	31.1	14.8	14.8	21	21	38.4	38.4	4.3	89	12	10
Indonesia	Indonesia	Indonesia	Indonesia	21.9	21.9	7.7	7.7	13.5	13.5	36.4	36.4	2.6	76	12	15
Iran	Iran	Iran	Iran	7.3	7.3	4.9	4.9	3.8	3.8	7.4	7.4	1.5	46	35	21
Iraq	Iraq	Iraq	Iraq	22.1	22.1	27.7	27.7	5.2	5.2	19.7	19.7	3.1	47	38	13
Jamaica	Jamaica	Jamaica	Jamaica	8.6	8.6	8.9	8.9	3.6	3.6	6.2	6.2	1.5	70	26	6
Jordan	Jordan	Jordan	Jordan	11.2	11.2	13.5	13.5	2.4	2.4	10.6	10.6	1.8	62	19	13
Kazakhstan	Kazakhstan	Kazakhstan	Kazakhstan	5.5	5.5	2.5	2.5	3.1	3.1	8	8	1.1	96	8	3
Kenya	Kenya	Kenya	Kenya	23.2	23.2	24.2	24.2	4	4	26	26	4.9	38	26	24
Kuwait	Kuwait	Kuwait	Kuwait	5	5	2.5	2.5	3.1	3.1	4.9	4.9	0.8	94	1	4
Kyrgyz	Kyrgyz	Kyrgyz	Kyrgyz	9.3	9.3	6.5	6.5	2.8	2.8	12.9	12.9	2.1	75	3	16
Lao	Lao	Lao	Lao	25.3	25.3	16.6	16.6	7.8	7.8	33.5	33.5	6.4	33	11	36.5
Latvia	Latvia	Latvia	Latvia	5	5	2.5	2.5	3.6	3.6	6.4	6.4	0.5	5	52	38
Lebanon	Lebanon	Lebanon	Lebanon	11.7	11.7	10.9	10.9	4.7	4.7	15.7	15.7	0.8	4	60	36
Lesotho	Lesotho	Lesotho	Lesotho	23.7	23.7	12.8	12.8	2.8	2.8	33.2	33.2	9.4	59	14	25
Liberia	Liberia	Liberia	Liberia	33.3	33.3	38.8	38.8	5.6	5.6	32.1	32.1	6.7	30	49	29
Libya	Libya	Libya	Libya					3.9	3.9	25.3	25.3	1.3	81	1	9
Lithuania	Lithuania	Lithuania	Lithuania	5	5	2.5	2.5	3.5	3.5	6.2	6.2	0.5	48	49	23
"Macedonia,"	"Macedonia,"	"Macedonia,"	"Macedonia,"	5.9	5.9	4.1	4.1	2.6	2.6	6.9	6.9	1.2	79	44	10
Madagascar	Madagascar	Madagascar	Madagascar	38	38	43.1	43.1	8.4	8.4	46.1	46.1	4.6	15	17	30
