state_id,state_name,district_code,hindi_name,SC_pct_cultivators,SC_cultivators,SC_agricultural_labourers
1,Andaman & Nicobar Islands,638,अंडमान एंड निकोबार आइलैंड,5007,4932,62
2,Andhra Pradesh,532,आंध्रप्रदेश,888555,880478,7160
3,Arunachal Pradesh,260,अरुणाचल प्रदेश,16831,16771,56
4,Assam,324,असम,217256,214490,1086
5,Bihar,209,बिहार,261092,259074,1518
6,Chandigarh,55,चंडीगढ़,21154,20644,342
7,Chhattisgarh,414,छत्तीसगढ़,307996,300078,3746
8,Dadra & Nagar Haveli,496,दादरा एंड नगर हवेली,3398,3396,2
9,Daman & Diu,495,दमन और दिउए,0,0,0
10,Goa,585,गोवा,53996,52530,774
11,Gujarat,474,गुजरात,263910,257473,4397
12,Haryana,70,हरियाणा,268600,264713,3033
13,Himachal Pradesh,30,हिमाचल प्रदेश,57993,56551,987
14,Jammu & Kashmir,14,जम्मू और कश्मीर,125007,122470,1944
15,Jharkhand,355,झारखण्ड,119116,117574,1078
16,Karnataka,556,कर्नाटक,943212,925167,12241
17,Kerala,598,केरल,977394,909102,3902
37,Ladakh,1111,लद्दाख,9758,9569,130
18,Lakshadweep,587,लक्षद्वीप,166,93,0
19,Madhya Pradesh,465,मध्य प्रदेश,256758,250946,3825
20,Maharashtra,522,महाराष्ट्र,2048802,1961525,51360
21,Manipur,275,मणिपुर,29137,28687,373
22,Meghalaya,294,मेघालय,13893,13608,148
23,Mizoram,283,मिजोरम,4388,4358,9
24,Nagaland,265,नागालैंड,12166,11990,88
25,Nct Of Delhi,95,दिल्ली,636260,624326,10882
26,Odisha,384,ओडिशा,335797,333139,1910
27,Puducherry,637,पुदुचेर्री,39353,38391,655
28,Punjab,49,पंजाब,175023,167285,5661
29,Rajasthan,119,राजस्थान,318384,314175,2774
30,Sikkim,244,सिक्किम,6110,5912,135
31,Tamil Nadu,616,तमिलनाडु,842730,826011,12391
32,Telangana,145,तेलंगाना,295988,292578,1613
33,Tripura,291,त्रिपुरा,33353,32955,391
34,Uttar Pradesh,146,उत्तरप्रदेश,601562,589565,8691
35,Uttarakhand,64,उत्तराखंड,96590,94127,1673
36,West Bengal,339,पश्चिम बंगाल,571636,556925,10215
