state_id,state_name,district_code,hindi_name,SC_pct_cultivators,SC_cultivators,SC_agricultural_labourers
1,Andaman & Nicobar Islands,638,अंडमान एंड निकोबार आइलैंड,4860,4707,61
2,Andhra Pradesh,532,आंध्रप्रदेश,877348,865825,7069
3,Arunachal Pradesh,260,अरुणाचल प्रदेश,16603,16290,55
4,Assam,324,असम,215148,210615,1010
5,Bihar,209,बिहार,244386,237770,1337
6,Chandigarh,55,चंडीगढ़,18905,18017,304
7,Chhattisgarh,414,छत्तीसगढ़,263485,242922,3156
8,Dadra & Nagar Haveli,496,दादरा एंड नगर हवेली,3361,3344,2
9,Daman & Diu,495,दमन और दिउए,0,0,0
10,Goa,585,गोवा,49745,48054,716
11,Gujarat,474,गुजरात,232188,215528,4211
12,Haryana,70,हरियाणा,255728,245933,2782
13,Himachal Pradesh,30,हिमाचल प्रदेश,51143,44146,858
14,Jammu & Kashmir,14,जम्मू और कश्मीर,117317,111164,1826
15,Jharkhand,355,झारखण्ड,112332,109696,1007
16,Karnataka,556,कर्नाटक,905901,878696,11981
17,Kerala,598,केरल,688409,627364,2734
37,Ladakh,1111,लद्दाख,9243,8623,123
18,Lakshadweep,587,लक्षद्वीप,0,0,0
19,Madhya Pradesh,465,मध्य प्रदेश,227949,212351,3442
20,Maharashtra,522,महाराष्ट्र,1886807,1774255,48499
21,Manipur,275,मणिपुर,27454,25250,332
22,Meghalaya,294,मेघालय,13141,12322,133
23,Mizoram,283,मिजोरम,4094,3923,7
24,Nagaland,265,नागालैंड,11820,11200,73
25,Nct Of Delhi,95,दिल्ली,613357,590977,10182
26,Odisha,384,ओडिशा,325147,320584,1825
27,Puducherry,637,पुदुचेर्री,37622,36693,622
28,Punjab,49,पंजाब,161831,150636,5150
29,Rajasthan,119,राजस्थान,295953,279717,2589
30,Sikkim,244,सिक्किम,5406,4990,122
31,Tamil Nadu,616,तमिलनाडु,803516,781745,11942
32,Telangana,145,तेलंगाना,280195,271649,1506
33,Tripura,291,त्रिपुरा,33119,32471,378
34,Uttar Pradesh,146,उत्तरप्रदेश,570789,544503,8136
35,Uttarakhand,64,उत्तराखंड,84689,77243,1384
36,West Bengal,339,पश्चिम बंगाल,530456,501624,9235
